Sub,Condition,Value
sub-1300,Large Gain,0.343479918548837
sub-1012,Large Gain,0.377137030140147
sub-1244,Large Gain,0.298684699926525
sub-1249,Large Gain,0.330868997305515
sub-1019,Large Gain,0.298385253874585
sub-1003,Large Gain,0.31061711788061
sub-1004,Large Gain,0.270957119995728
sub-1303,Large Gain,0.334421280887909
sub-3218,Large Gain,0.309480648895259
sub-3166,Large Gain,0.338347683893516
sub-3143,Large Gain,0.296942110289819
sub-1286,Large Gain,0.31653699734079
sub-1247,Large Gain,0.255261099897325
sub-1302,Large Gain,0.265311100054532
sub-3190,Large Gain,0.260311699996236
sub-3167,Large Gain,0.559246355900541
sub-3125,Large Gain,0.309154100017622
sub-1294,Large Gain,0.269687746119416
sub-3140,Large Gain,0.212539481348358
sub-3199,Large Gain,0.240439699999114
sub-1016,Large Gain,0.263892299997678
sub-1009,Large Gain,0.249586359132081
sub-3173,Large Gain,0.274784300010651
sub-1245,Large Gain,0.260252866370137
sub-3189,Large Gain,0.276945968158543
sub-1242,Large Gain,0.321156999998493
sub-1276,Large Gain,0.278834499818913
sub-1248,Large Gain,0.255692032107617
sub-1021,Large Gain,0.236509243186446
sub-3175,Large Gain,0.305434638867154
sub-1301,Large Gain,0.245462783728726
sub-3206,Large Gain,0.291936742971302
sub-3220,Large Gain,0.301759584544925
sub-3176,Large Gain,0.284786565229296
sub-1011,Large Gain,0.295329315791605
sub-1282,Large Gain,0.353589450009167
sub-1001,Large Gain,0.353099216241389
sub-1010,Large Gain,0.30696640536189
sub-1006,Large Gain,0.311929517607495
sub-3170,Large Gain,0.271466309786774
sub-3116,Large Gain,0.407557068858295
sub-3212,Large Gain,0.270333381951786
sub-1243,Large Gain,0.298335985338781
sub-3200,Large Gain,0.270464802962123
sub-1015,Large Gain,0.280317485972773
sub-1013,Large Gain,0.251665899995714
sub-1300,Small Gain,0.338976435246877
sub-1012,Small Gain,0.344097700406564
sub-1244,Small Gain,0.272175500169396
sub-1249,Small Gain,0.346174988837447
sub-1019,Small Gain,0.26985317224171
sub-1003,Small Gain,0.327592697198269
sub-1004,Small Gain,0.260934047866612
sub-1303,Small Gain,0.316366605693474
sub-3218,Small Gain,0.326753964298404
sub-3166,Small Gain,0.310429929406382
sub-3143,Small Gain,0.239452081179479
sub-1286,Small Gain,0.291154200390337
sub-1247,Small Gain,0.329608300002291
sub-1302,Small Gain,0.300912300008349
sub-3190,Small Gain,0.248651099973358
sub-3167,Small Gain,0.528105888632126
sub-3125,Small Gain,0.355403899913653
sub-1294,Small Gain,0.294501513437353
sub-3140,Small Gain,0.227537484490312
sub-3199,Small Gain,0.268007500002568
sub-1016,Small Gain,0.258695600001374
sub-1009,Small Gain,0.251429894473403
sub-3173,Small Gain,0.305096300027798
sub-1245,Small Gain,0.290652765659615
sub-3189,Small Gain,0.278929270338267
sub-1242,Small Gain,0.321376300009433
sub-1276,Small Gain,0.257250000375279
sub-1248,Small Gain,0.27452464896487
sub-1021,Small Gain,0.239495214869748
sub-3175,Small Gain,0.320507127500604
sub-1301,Small Gain,0.253143773647025
sub-3206,Small Gain,0.292084208267624
sub-3220,Small Gain,0.276141779846511
sub-3176,Small Gain,0.322761286923196
sub-1011,Small Gain,0.314950518324621
sub-1282,Small Gain,0.450920399744063
sub-1001,Small Gain,0.386353921494446
sub-1010,Small Gain,0.29056982032489
sub-1006,Small Gain,0.316161317030491
sub-3170,Small Gain,0.27853118465282
sub-3116,Small Gain,0.419345480622723
sub-3212,Small Gain,0.277068461058661
sub-1243,Small Gain,0.345766577869653
sub-3200,Small Gain,0.276102885573891
sub-1015,Small Gain,0.31086552736815
sub-1013,Small Gain,0.261428700003307
sub-1300,Neutral,0.322723625577054
sub-1012,Neutral,0.323113342819851
sub-1244,Neutral,0.299600899685174
sub-1249,Neutral,0.326001454435754
sub-1019,Neutral,0.286248319724109
sub-1003,Neutral,0.310180910018971
sub-1004,Neutral,0.321855839574709
sub-1303,Neutral,0.269593921490013
sub-3218,Neutral,0.308012943074572
sub-3166,Neutral,0.361128628021106
sub-3143,Neutral,0.219973833620315
sub-1286,Neutral,0.281492771512603
sub-1247,Neutral,0.509839450009167
sub-1302,Neutral,0.316459399997256
sub-3190,Neutral,0.367656300019007
sub-3167,Neutral,0.485994449758436
sub-3125,Neutral,0.444373699836432
sub-1294,Neutral,0.288232376609812
sub-3140,Neutral,0.255858693970367
sub-3199,Neutral,0.273261099999217
sub-1016,Neutral,0.272532300004968
sub-1009,Neutral,0.25946936244145
sub-3173,Neutral,0.421123899985104
sub-1245,Neutral,0.302461104583926
sub-3189,Neutral,0.270715018152259
sub-1242,Neutral,0.318251300006522
sub-1276,Neutral,0.293048627157986
sub-1248,Neutral,0.319196946744341
sub-1021,Neutral,0.263712180283619
sub-3175,Neutral,0.332187023188453
sub-1301,Neutral,0.254030523472465
sub-3206,Neutral,0.327014312439132
sub-3220,Neutral,0.295921672543045
sub-3176,Neutral,0.296694852586369
sub-1011,Neutral,0.350743711736868
sub-1282,Neutral,0.373485899996012
sub-1001,Neutral,0.370830671745352
sub-1010,Neutral,0.303368973662145
sub-1006,Neutral,0.308075360662769
sub-3170,Neutral,0.294866868120152
sub-3116,Neutral,0.434319851687178
sub-3212,Neutral,0.284962881822139
sub-1243,Neutral,0.315847488935105
sub-3200,Neutral,0.287526968581914
sub-1015,Neutral,0.295282690494786
sub-1013,Neutral,0.26647029997548
sub-1300,Small Loss,0.342786064837127
sub-1012,Small Loss,0.389765408923267
sub-1244,Small Loss,0.302330400329083
sub-1249,Small Loss,0.32111776137026
sub-1019,Small Loss,0.308721065928693
sub-1003,Small Loss,0.256699412944726
sub-1004,Small Loss,0.291677647270262
sub-1303,Small Loss,0.311920027947053
sub-3218,Small Loss,0.324423807789571
sub-3166,Small Loss,0.330934001947753
sub-3143,Small Loss,0.229133586370153
sub-1286,Small Loss,0.316757213317941
sub-1247,Small Loss,0.317093099933117
sub-1302,Small Loss,0.372485199943184
sub-3190,Small Loss,0.258372600015718
sub-3167,Small Loss,0.570964915968943
sub-3125,Small Loss,0.387285199947655
sub-1294,Small Loss,0.268033032094535
sub-3140,Small Loss,0.210153167834505
sub-3199,Small Loss,0.288874000001669
sub-1016,Small Loss,0.270978000000468
sub-1009,Small Loss,0.237753561581484
sub-3173,Small Loss,0.433436999970581
sub-1245,Small Loss,0.283936559804715
sub-3189,Small Loss,0.278236774960532
sub-1242,Small Loss,0.339353799994569
sub-1276,Small Loss,0.348623385169048
sub-1248,Small Loss,0.219777206046273
sub-1021,Small Loss,0.255010404034692
sub-3175,Small Loss,0.362249740224797
sub-1301,Small Loss,0.254978100769221
sub-3206,Small Loss,0.296025169009226
sub-3220,Small Loss,0.285913090308895
sub-3176,Small Loss,0.33304927079007
sub-1011,Small Loss,0.293489092233357
sub-1282,Small Loss,0.448880900163203
sub-1001,Small Loss,0.389561178395524
sub-1010,Small Loss,0.30574245750904
sub-1006,Small Loss,0.302726180219906
sub-3170,Small Loss,0.29255829763133
sub-3116,Small Loss,0.373613651841878
sub-3212,Small Loss,0.272189747542142
sub-1243,Small Loss,0.330852540791966
sub-3200,Small Loss,0.298797398217175
sub-1015,Small Loss,0.318008447065949
sub-1013,Small Loss,0.250618799997027
sub-1300,Large Loss,0.302930305479094
sub-1012,Large Loss,0.308589658205164
sub-1244,Large Loss,0.277488800231367
sub-1249,Large Loss,0.337024931941414
sub-1019,Large Loss,0.285449716029688
sub-1003,Large Loss,0.311034911428578
sub-1004,Large Loss,0.312369496678002
sub-1303,Large Loss,0.322697469731792
sub-3218,Large Loss,0.300535099755506
sub-3166,Large Loss,0.301173619111068
sub-3143,Large Loss,0.253949111356632
sub-1286,Large Loss,0.313413673677132
sub-1247,Large Loss,0.327462999848648
sub-1302,Large Loss,0.268341499962843
sub-3190,Large Loss,0.272904700017534
sub-3167,Large Loss,0.478740440797992
sub-3125,Large Loss,0.326511799823492
sub-1294,Large Loss,0.281800077701518
sub-3140,Large Loss,0.228800223092548
sub-3199,Large Loss,0.258038300002226
sub-1016,Large Loss,0.262517000002844
sub-1009,Large Loss,0.253139700158499
sub-3173,Large Loss,0.341996599978301
sub-1245,Large Loss,0.278954912093468
sub-3189,Large Loss,0.292377085832413
sub-1242,Large Loss,0.328351400006795
sub-1276,Large Loss,0.305491818497102
sub-1248,Large Loss,0.278089159241062
sub-1021,Large Loss,0.244150088585229
sub-3175,Large Loss,0.308371253486257
sub-1301,Large Loss,0.249503193655982
sub-3206,Large Loss,0.338102736059227
sub-3220,Large Loss,0.279232048487756
sub-3176,Large Loss,0.285068816505372
sub-1011,Large Loss,0.285306195262819
sub-1282,Large Loss,0.347199599957093
sub-1001,Large Loss,0.385653423669282
sub-1010,Large Loss,0.308993639890104
sub-1006,Large Loss,0.313857275286864
sub-3170,Large Loss,0.271871120959986
sub-3116,Large Loss,0.322612039744854
sub-3212,Large Loss,0.277509949752129
sub-1243,Large Loss,0.298982144508045
sub-3200,Large Loss,0.268734617682639
sub-1015,Large Loss,0.299287489149719
sub-1013,Large Loss,0.240791800024453
