Subject,Cope,Activation,CopeName
sub-1001,1,-19.701822,Large Gain
sub-1001,2,-33.419052,Small Gain
sub-1001,3,-15.890732,Large Loss
sub-1001,4,-44.43043,Small Loss
sub-1001,7,-14.523945,Neutral
sub-1001,8,6.2050686,Gain>Loss
sub-1001,9,-16.777603,Gain>Neut
sub-1001,10,-22.002108,Loss>Neut
sub-1001,12,-31.690548,Hit-Miss
sub-1001,13,17.066702,LG-SG
sub-1001,14,22.209206,LL-SL
sub-1001,11,36.927776,Salience
sub-1003,1,49.68795,Large Gain
sub-1003,2,20.282784,Small Gain
sub-1003,3,30.908396,Large Loss
sub-1003,4,23.019218,Small Loss
sub-1003,7,-13.97088,Neutral
sub-1003,8,16.043123,Gain>Loss
sub-1003,9,97.91249,Gain>Neut
sub-1003,10,81.86938,Loss>Neut
sub-1003,12,-58.3116,Hit-Miss
sub-1003,13,29.405172,LG-SG
sub-1003,14,7.889179,LL-SL
sub-1003,11,145.83244,Salience
sub-1004,1,-0.91495544,Large Gain
sub-1004,2,25.49918,Small Gain
sub-1004,3,-2.1810994,Large Loss
sub-1004,4,-15.399121,Small Loss
sub-1004,7,9.413272,Neutral
sub-1004,8,44.43779,Gain>Loss
sub-1004,9,11.018167,Gain>Neut
sub-1004,10,-31.683567,Loss>Neut
sub-1004,12,104.370735,Hit-Miss
sub-1004,13,-24.435888,LG-SG
sub-1004,14,7.748005,LL-SL
sub-1004,11,-28.200232,Salience
sub-1006,1,20.701809,Large Gain
sub-1006,2,15.728301,Small Gain
sub-1006,3,0.7566921,Large Loss
sub-1006,4,4.1779904,Small Loss
sub-1006,7,-4.1202765,Neutral
sub-1006,8,31.495428,Gain>Loss
sub-1006,9,44.670662,Gain>Neut
sub-1006,10,13.175237,Loss>Neut
sub-1006,12,-26.469898,Hit-Miss
sub-1006,13,4.9735084,LG-SG
sub-1006,14,-3.421299,LL-SL
sub-1006,11,31.251263,Salience
sub-1009,1,56.325874,Large Gain
sub-1009,2,38.20673,Small Gain
sub-1009,3,17.135164,Large Loss
sub-1009,4,42.90094,Small Loss
sub-1009,7,-12.779433,Neutral
sub-1009,8,33.368916,Gain>Loss
sub-1009,9,122.78002,Gain>Neut
sub-1009,10,88.8902,Loss>Neut
sub-1009,12,151.67834,Hit-Miss
sub-1009,13,19.526897,LG-SG
sub-1009,14,-28.526485,LL-SL
sub-1009,11,90.083115,Salience
sub-1010,1,30.909878,Large Gain
sub-1010,2,-13.897684,Small Gain
sub-1010,3,-11.522748,Large Loss
sub-1010,4,-5.2006674,Small Loss
sub-1010,7,-39.423206,Neutral
sub-1010,8,41.309383,Gain>Loss
sub-1010,9,100.49363,Gain>Neut
sub-1010,10,55.62364,Loss>Neut
