ID	score_teps_q1	score_teps_q2	score_teps_q3	score_teps_q4	score_teps_q5	score_teps_q6	score_teps_q7	score_teps_q8	score_teps_q9	score_teps_q10	score_teps_q11	score_teps_q12	score_teps_q13	score_teps_q14	score_teps_q15	score_teps_q16	score_teps_q17	score_teps_q18	score_teps_ant	score_teps_con
1001	6	2	3	4	4	3	6	6	4	4	5	6	6	6	6	6	6	6	52	40
1002	6	6	5	5	5	6	4	4	5	5	5	4	2	6	4	4	4	5	46	45
1003	5	5	1	4	4	4	6	4	4	5	6	2	6	6	4	4	6	6	48	38
1004	5	6	5	6	6	6	6	2	5	2	5	4	5	6	6	6	6	6	49	50
1006	4	6	6	3	5	5	2	6	2	2	4	4	2	5	2	2	5	3	33	40
1007	5	6	5	5	4	5	5	4	5	5	4	4	5	5	5	4	4	5	47	43
1009	6	5	5	6	6	6	5	2	6	5	5	5	6	6	5	5	6	6	52	50
1010	2	4	3	2	2	4	1	4	5	1	4	1	2	3	2	2	4	4	27	27
1011	6	5	1	5	4	4	5	1	6	4	5	6	6	5	5	3	6	6	45	42
1012	4	2	2	6	5	6	6	5	6	2	5	1	6	5	4	4	6	6	48	39
1013	5	6	5	5	5	6	5	4	6	5	5	3	5	4	4	5	5	6	50	45
1015	4	5	6	5	5	4	6	3	6	6	6	6	6	6	3	5	6	5	47	50
1016	5	6	6	6	6	6	6	6	6	3	3	4	6	6	6	6	6	6	53	52
1018	3	5	5	6	6	4	2	5	4	3	3	5	5	4	5	4	4	4	42	39
1019	5	6	6	4	3	5	6	4	6	4	5	6	5	5	5	5	6	6	48	49
1021	3	5	5	2	2	2	3	2	4	2	2	2	2	5	2	2	4	2	21	32
1240	3	6	6	5	5	5	4	2	5	4	5	3	5	4	2	3	4	5	39	42
1242	3	6	6	1	4	4	6	4	5	2	4	4	5	6	5	5	6	4	37	47
1243	4	6	6	4	5	6	6	4	6	4	3	4	5	5	3	4	6	5	42	50
1244	6	6	4	6	6	6	6	4	6	5	6	2	6	6	3	4	6	6	52	48
1245	6	6	5	5	5	5	6	5	5	4	5	5	6	6	5	5	6	5	51	49
1247	5	6	6	5	6	6	6	3	6	4	5	6	5	6	5	5	6	6	49	54
1248	6	6	6	5	4	6	6	6	6	3	5	6	6	6	6	6	6	6	55	52
1249	5	6	5	6	5	6	6	6	6	5	5	5	5	6	6	6	6	6	56	51
1251	2	5	4	5	4	4	4	1	5	2	3	4	4	5	4	4	4	5	34	39
1253	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
1255	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
1276	3	5	5	5	5	6	1	5	5	6	6	4	5	5	5	5	5	6	52	41
1282	4	6	6	5	6	5	6	2	6	6	6	6	6	6	5	4	6	6	49	53
1286	3	6	6	6	5	6	6	1	6	4	4	2	6	6	6	6	6	6	48	49
1294	4	5	5	6	6	5	1	5	5	4	5	5	5	6	6	6	6	5	51	44
1300	6	6	6	4	6	6	6	2	6	3	6	2	4	6	6	4	6	6	47	50
1301	6	4	5	4	6	4	6	5	6	4	4	2	5	1	4	5	6	5	46	40
1302	6	6	6	4	2	4	6	6	6	6	5	4	5	6	6	6	6	5	53	46
1303	4	5	5	2	5	4	4	3	6	4	2	2	4	6	3	4	5	4	34	42
3101	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
3116	6	6	5	6	4	5	6	4	5	5	5	4	6	6	5	6	6	6	54	47
3122	6	5	6	6	6	6	3	2	5	6	6	6	6	6	6	6	6	6	56	49
3125	6	5	5	5	6	6	4	3	4	5	5	6	6	3	6	6	6	5	53	45
3140	6	4	3	5	6	4	5	5	5	6	6	4	6	5	5	5	5	6	54	41
3143	4	6	6	5	6	6	4	6	6	6	6	6	5	5	5	6	4	6	55	49
3146	6	6	5	4	4	4	4	3	4	4	5	2	5	6	5	5	5	4	45	40
3152	5	5	6	6	3	5	6	3	4	4	4	3	6	6	5	6	6	6	50	44
3164	6	6	6	6	6	6	4	4	6	4	6	5	5	6	6	6	6	6	55	51
3166	5	4	4	5	4	5	5	4	5	4	5	5	5	5	5	4	5	5	47	42
3167	6	6	6	5	4	5	6	4	6	5	5	5	5	6	4	5	6	5	49	50
3170	6	4	5	4	5	5	5	3	4	5	3	5	3	6	5	5	5	5	44	44
3173	6	6	3	4	5	5	1	6	4	6	5	6	5	1	5	6	3	5	53	34
3175	4	5	3	4	3	4	5	4	5	4	4	4	5	5	4	4	5	5	42	39
3176	5	6	5	5	4	5	2	5	6	1	2	4	6	6	5	6	5	6	46	43
3178	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
3186	5	5	1	5	4	6	3	5	5	6	6	4	6	5	5	5	6	6	55	39
3189	5	5	5	2	4	4	4	4	5	3	4	4	4	5	4	5	4	4	39	40
3190	1	6	5	4	3	1	6	5	6	1	1	4	1	1	4	1	4	1	20	36
3199	5	5	6	4	2	4	3	6	5	5	5	2	6	6	4	6	4	5	50	37
3200	4	5	4	5	5	5	4	5	6	6	4	4	1	5	4	3	5	4	41	43
3206	6	6	4	5	2	5	6	6	6	5	5	6	6	6	5	4	5	6	53	46
3210	5	5	4	5	5	6	1	4	5	5	5	4	6	4	5	5	4	6	52	38
3212	5	5	4	4	3	6	6	6	6	6	5	5	6	5	4	5	5	5	52	45
3218	6	6	6	6	6	6	1	1	6	1	5	5	6	1	4	6	1	6	47	38
3220	5	6	6	4	2	6	6	5	6	2	4	5	5	2	5	5	1	6	47	40
3223	6	5	2	4	5	5	5	6	5	4	5	4	5	6	5	5	5	6	51	42
																				
