RealID,Study,gender,SPSRWD,BISBAS_BAS,PC1,PC1_de-meaned,,SPSRWD_Z,BISBAS_Z,Mean_RSS,ABS_RSS
1001,1,1,7,44,0.748618978,1.2766890179,1,-1.467764612,1.2061436134,-0.1308104993,0.1308104993
1002,1,2,15,35,-1.338732215,-0.8106621751,1,0.876251686,-0.7333935613,0.0714290623,0.0714290623
1006,1,2,12,37,-1.633791079,-1.1057210391,1,-0.0027544257,-0.3023853003,-0.152569863,0.152569863
1007,1,1,14,37,-0.391930685,0.1361393549,1,0.5832496488,-0.3023853003,0.1404321742,0.1404321742
1009,1,1,12,40,0.71780651,1.2458765499,1,-0.0027544257,0.3441270913,0.1706863328,0.1706863328
1011,1,2,14,39,1.17580104,1.7038710799,1,0.5832496488,0.1286229608,0.3559363048,0.3559363048
1012,1,1,5,33,-9.115765906,-8.5876958661,1,-2.0537686865,-1.1644018224,-1.6090852544,1.6090852544
1013,1,1,16,41,3.985393159,4.5134631989,1,1.1692537233,0.5596312218,0.8644424725,0.8644424725
1015,1,1,9,35,-5.064313394,-4.5362433541,1,-0.8817605375,-0.7333935613,-0.8075770494,0.8075770494
1016,1,1,15,40,2.5805971,3.1086671399,1,0.876251686,0.3441270913,0.6101893887,0.6101893887
1019,1,1,15,39,1.796731237,2.3248012769,1,0.876251686,0.1286229608,0.5024373234,0.5024373234
1021,1,1,11,37,-2.254721275,-1.7266512351,1,-0.295756463,-0.3023853003,-0.2990708816,0.2990708816
1242,1,1,14,40,1.959666903,2.4877369429,1,0.5832496488,0.3441270913,0.46368837,0.46368837
1243,1,1,11,35,-3.822453001,-3.2943829611,1,-0.295756463,-0.7333935613,-0.5145750122,0.5145750122
1244,1,1,15,48,8.851524003,9.3795940429,1,0.876251686,2.0681601355,1.4722059108,1.4722059108
1248,1,2,14,39,1.17580104,1.7038710799,1,0.5832496488,0.1286229608,0.3559363048,0.3559363048
1249,1,1,13,40,1.338736706,1.8668067459,1,0.2902476115,0.3441270913,0.3171873514,0.3171873514
1251,1,2,8,24.91666667,-13.58922437,-13.0611543301,1,-1.1747625747,-2.9063935435,-2.0405780591,2.0405780591
1255,1,1,11,38,-1.470855412,-0.9427853721,1,-0.295756463,-0.0868811698,-0.1913188164,0.1913188164
1276,1,1,10,36,-3.659517335,-3.1314472951,1,-0.5887585002,-0.5178894308,-0.5533239655,0.5533239655
1286,1,1,12,38,-0.849925216,-0.3218551761,1,-0.0027544257,-0.0868811698,-0.0448177977,0.0448177977
1294,1,1,9,37,-3.496581668,-2.9685116281,1,-0.8817605375,-0.3023853003,-0.5920729189,0.5920729189
1300,1,1,9,33,-6.63204512,-6.1039750801,1,-0.8817605375,-1.1644018224,-1.0230811799,1.0230811799
1301,1,1,8,38,-3.333646002,-2.8055759621,1,-1.1747625747,-0.0868811698,-0.6308218722,0.6308218722
1302,1,1,20,47,11.17230912,11.7003791599,1,2.3412618723,1.852656005,2.0969589386,2.0969589386
3116,1,1,12,41,1.501672373,2.0297424129,1,-0.0027544257,0.5596312218,0.278438398,0.278438398
3122,1,1,16,40,3.201527296,3.7295973359,1,1.1692537233,0.3441270913,0.7566904073,0.7566904073
3140,1,1,11,37,-2.254721275,-1.7266512351,1,-0.295756463,-0.3023853003,-0.2990708816,0.2990708816
3143,1,1,13,37,-1.012860882,-0.4847908421,1,0.2902476115,-0.3023853003,-0.0060688444,0.0060688444
3164,1,2,20,51,14.30777257,14.8358426099,1,2.3412618723,2.7146725271,2.5279671997,2.5279671997
3166,1,1,7,36,-5.522307925,-4.9942378851,1,-1.467764612,-0.5178894308,-0.9928270214,0.9928270214
3167,1,1,9,37,-3.496581668,-2.9685116281,1,-0.8817605375,-0.3023853003,-0.5920729189,0.5920729189
3170,1,1,9,32,-7.415910983,-6.8878409431,1,-0.8817605375,-1.3799059529,-1.1308332452,1.1308332452
3173,1,2,14,43,4.311264492,4.8393345319,1,0.5832496488,0.9906394829,0.7869445658,0.7869445658
3176,1,1,8.347826087,36,-4.685402007,-4.1573319671,1,-1.0728488226,-0.5178894308,-0.7953691267,0.7953691267
3189,1,2,12,37,-1.633791079,-1.1057210391,1,-0.0027544257,-0.3023853003,-0.152569863,0.152569863
3190,1,1,14,43,4.311264492,4.8393345319,1,0.5832496488,0.9906394829,0.7869445658,0.7869445658
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
¢,,,,,,,,,,,
